"Counting","INCP Total Personal Income (weekly)","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Casey",5880
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Dunkley",5623
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Gellibrand",5314
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Nicholls",5306
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Indi",4775
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Corio",5701
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Corangamite",4572
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","McEwen",4693
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Monash",4532
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Bendigo",5152
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Wannon",5447
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Mallee",5585
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Hawke",5026
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Ballarat",4925
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Gippsland",5089
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Flinders",4728
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Wills",4806
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Melbourne",5796
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Cooper",5352
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Maribyrnong",5354
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Macnamara",3720
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Higgins",4875
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Kooyong",6948
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Menzies",7218
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Chisholm",8081
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Deakin",6759
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Goldstein",5802
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Hotham",7101
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Isaacs",5517
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Jagajaga",6197
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Scullin",5971
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Gorton",6058
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Calwell",5973
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Aston",6534
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","La Trobe",4369
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Bruce",6986
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Holt",4946
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Fraser",6104
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Lalor",5400
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","No usual address (Vic.)",308
"Persons Place of Usual Residence","$1-$149 ($1-$7,799)","Total",218512
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Casey",8275
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Dunkley",8336
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Gellibrand",7933
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Nicholls",9266
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Indi",8798
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Corio",9569
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Corangamite",6849
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","McEwen",6025
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Monash",8666
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Bendigo",8810
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Wannon",9393
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Mallee",10858
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Hawke",7675
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Ballarat",9054
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Gippsland",9800
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Flinders",7599
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Wills",9458
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Melbourne",10084
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Cooper",10018
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Maribyrnong",8572
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Macnamara",5932
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Higgins",6525
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Kooyong",7498
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Menzies",9487
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Chisholm",10914
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Deakin",8974
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Goldstein",6367
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Hotham",13016
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Isaacs",7743
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Jagajaga",8010
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Scullin",11192
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Gorton",9685
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Calwell",11608
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Aston",8692
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","La Trobe",5989
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Bruce",12057
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Holt",7777
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Fraser",13697
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Lalor",8739
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","No usual address (Vic.)",1022
"Persons Place of Usual Residence","$150-$299 ($7,800-$15,599)","Total",349961
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Casey",10027
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Dunkley",10002
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Gellibrand",8699
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Nicholls",13197
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Indi",12353
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Corio",11888
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Corangamite",8398
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","McEwen",6719
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Monash",11952
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Bendigo",11481
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Wannon",12385
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Mallee",15791
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Hawke",8928
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Ballarat",11170
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Gippsland",13325
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Flinders",11127
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Wills",11396
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Melbourne",9515
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Cooper",11646
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Maribyrnong",9881
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Macnamara",6544
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Higgins",6736
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Kooyong",6912
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Menzies",10419
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Chisholm",11628
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Deakin",9878
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Goldstein",6920
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Hotham",15385
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Isaacs",9057
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Jagajaga",8803
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Scullin",12470
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Gorton",9941
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Calwell",10939
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Aston",10227
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","La Trobe",7018
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Bruce",12829
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Holt",8169
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Fraser",13992
"Persons Place of Usual Residence","$300-$399 ($15,600-$20,799)","Lalor",8450
