count_mar_2000, lga_code16, count_mar_2003, count_mar_2004, count_mar_2001, count_mar_2002, count_mar_2007, count_mar_2008, count_mar_2005, count_mar_2006, count_mar_2009, count_dec_1999, count_sep_2011, count_sep_2010, count_sep_2014, count_sep_2015, count_sep_2012, count_sep_2013, count_sep_2016, count_sep_2017, lga_name16, count_dec_2017, count_dec_2016, median_dec_2017, median_dec_2016, median_dec_2015, median_dec_2014, median_dec_2013, median_dec_2012, median_dec_2011, count_sep_2000, count_sep_2005, count_sep_2006, count_sep_2007, count_sep_2008, count_sep_2001, count_sep_2002, count_sep_2003, count_sep_2004, median_dec_2010, count_dec_2010, count_dec_2011, count_dec_2012, count_sep_2009, count_dec_2013, count_dec_2014, count_dec_2015, count_dec_2008, count_dec_2007, count_dec_2006, count_sep_1999, count_dec_2005, median_dec_1999, count_dec_2009, count_mar_2011, count_mar_2010, count_mar_2016, count_mar_2017, count_mar_2012, count_mar_2013, count_mar_2014, count_mar_2015, count_jun_1999, count_dec_2000, count_dec_2003, count_dec_2004, count_dec_2001, count_dec_2002, count_jun_2014, count_jun_2013, count_jun_2016, count_jun_2015, count_jun_2010, count_jun_2012, count_jun_2011, median_sep_2002, median_sep_2003, median_sep_2000, median_sep_2001, count_jun_2017, median_sep_2008, median_sep_2009, median_sep_2006, median_sep_2007, median_sep_2004, median_sep_2005, median_dec_2008, median_dec_2009, median_dec_2000, median_dec_2001, median_dec_2002, median_dec_2003, median_dec_2004, median_dec_2005, median_dec_2006, median_dec_2007, median_sep_2011, median_sep_2012, median_sep_2013, median_sep_2014, median_sep_2010, median_sep_2015, median_sep_2016, median_sep_2017, median_jun_2009, median_jun_2005, median_jun_2006, median_jun_2007, median_jun_2008, median_jun_2001, median_jun_2002, median_jun_2003, median_jun_2004, median_jun_2000, median_mar_2010, median_mar_2011, median_mar_2012, median_mar_2013, median_mar_2014, median_jun_1999, median_mar_2015, median_mar_2016, median_mar_2017, count_jun_2001, count_jun_2000, median_jun_2016, median_jun_2017, median_jun_2014, count_jun_2005, median_jun_2015, count_jun_2004, median_jun_2012, count_jun_2003, median_jun_2013, count_jun_2002, median_jun_2011, count_jun_2008, median_jun_2010, count_jun_2009, count_jun_2006, count_jun_2007, median_mar_2002, median_mar_2003, median_mar_2000, median_mar_2001, median_mar_2006, median_mar_2007, median_mar_2004, median_mar_2005, median_sep_1999, median_mar_2008, median_mar_2009
10,"26260",13,12,13,18,9,5,10,18,10,7,null,10,7,9,5,5,5,9,"Southern Grampians (S)",7,5,130,150,137,null,145,130,125,7,null,11,8,14,11,14,11,8,120,7,6,7,10,7,null,8,15,11,null,10,5,70,7,6,9,11,10,7,10,7,9,8,13,9,null,12,21,null,11,6,null,6,7,9,75,85,75,70,5,113,120,95,98,95,null,100,100,75,68,75,80,null,90,null,110,null,150,125,140,110,140,130,150,108,90,123,118,100,75,78,80,90,69,120,110,120,150,120,65,130,130,140,17,11,145,150,null,6,null,7,150,16,135,8,120,13,120,8,6,10,80,80,68,70,130,100,88,95,68,105,120
495,"26350",538,624,494,583,377,617,499,417,594,407,663,620,838,999,778,955,1012,954,"Stonnington (C)",724,794,375,360,350,335,340,320,330,444,414,345,308,411,450,445,479,422,300,507,587,740,558,848,749,884,456,401,299,412,314,155,486,842,768,1363,1336,937,1129,1107,1277,401,386,429,361,407,414,822,699,773,713,572,758,539,180,190,170,175,785,270,280,200,235,195,195,270,293,170,175,180,190,195,195,215,240,320,315,325,330,300,350,350,375,280,200,205,230,263,170,180,185,190,165,280,293,310,300,310,155,320,320,340,418,387,350,370,330,436,335,368,330,396,325,388,300,450,300,484,196,310,180,180,160,170,200,210,190,190,155,240,263
null,"26430",null,null,null,null,null,null,null,null,null,null,null,7,6,6,5,6,null,null,"Strathbogie (S)",8,null,205,null,null,173,150,155,null,6,null,null,null,6,null,null,null,null,null,null,null,6,null,5,10,null,5,null,null,null,null,null,null,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,5,null,6,6,null,null,null,null,75,null,null,170,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,150,165,158,160,170,null,null,null,null,null,null,195,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,178,null,null,null,130,null,null,6,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,"26490",7,6,8,6,null,null,null,null,6,7,6,12,14,9,5,8,null,10,"Surf Coast (S)",7,null,300,null,220,null,250,215,200,6,6,11,null,7,10,11,null,null,195,6,7,7,12,5,null,7,7,8,null,7,6,100,6,11,7,null,5,8,6,7,7,9,9,null,8,6,null,5,null,6,null,6,null,8,135,null,103,120,null,180,185,150,null,null,153,160,193,90,100,null,null,153,145,null,168,255,260,208,240,198,220,null,250,165,145,null,160,170,100,120,115,113,95,200,200,225,225,228,100,210,null,280,6,8,243,null,220,6,null,6,null,9,null,8,225,7,215,10,null,5,115,115,118,105,null,null,140,null,85,null,178
31,"26610",25,20,19,21,18,23,16,16,19,22,17,20,22,19,17,18,10,18,"Swan Hill (RC)",16,13,148,140,135,130,130,128,125,21,19,20,17,27,22,12,16,15,120,24,18,16,19,14,16,11,20,18,13,26,25,80,23,19,22,13,13,20,19,15,12,22,15,10,11,14,23,18,24,21,19,15,13,16,95,84,75,83,20,110,110,100,110,95,95,115,110,80,85,90,90,100,95,100,110,120,130,130,135,115,135,143,150,110,95,95,108,110,80,85,90,90,80,115,120,120,130,135,80,135,140,140,13,18,140,143,135,17,135,25,120,15,128,18,115,22,115,18,17,14,85,90,80,80,95,110,95,93,75,110,115
null,"26670",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Towong (S)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,"20110",null,null,null,null,null,null,null,null,5,null,null,null,null,null,null,null,null,null,"Alpine (S)",8,null,185,null,null,null,145,null,null,null,5,null,null,null,null,null,null,6,135,5,null,null,5,6,null,null,null,null,null,null,6,null,null,null,null,6,6,null,null,5,null,null,null,null,null,null,null,null,5,5,null,null,5,5,null,null,null,null,5,null,150,null,null,90,90,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,180,170,null,null,175,230,null,8,null,null,145,null,130,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150
null,"20260",null,5,9,6,null,5,null,7,null,null,null,null,null,null,null,null,null,null,"Ararat (RC)",null,null,null,null,null,null,null,null,null,7,null,null,null,null,null,5,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,5,null,null,null,7,null,null,5,null,null,null,5,null,5,null,null,80,80,80,null,null,null,null,null,null,null,null,null,null,75,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,85,null,null,null,80,null,68,null,null,124,140,null,null,null,null,null,null,5,140,null,null,null,null,null,null,6,null,null,null,null,100,null,null,5,83,null,null,75,90,null,80,null,null,100,null
140,"20570",73,77,117,83,69,81,78,53,76,74,60,75,77,80,73,56,77,59,"Ballarat (C)",52,62,173,165,170,160,160,150,150,84,61,48,43,66,66,53,77,65,135,55,65,75,56,66,59,61,50,69,47,80,57,80,75,82,70,92,68,86,88,94,75,82,90,55,56,66,83,82,93,87,79,52,94,55,90,100,85,85,64,120,130,110,115,95,100,120,130,85,90,95,100,100,105,110,115,140,160,160,155,140,165,165,170,125,100,110,115,120,85,90,95,100,80,130,140,150,156,160,80,165,165,170,78,73,165,180,155,43,160,58,150,66,160,71,145,55,140,69,44,53,85,90,80,85,105,110,95,105,80,115,130
45,"20660",35,46,27,40,85,106,46,25,140,33,86,87,103,90,83,75,91,110,"Banyule (C)",83,128,305,320,300,280,270,250,265,30,27,31,57,69,21,27,21,29,250,54,54,52,66,57,47,66,35,51,12,17,11,130,48,182,159,174,212,188,173,146,197,28,27,24,21,31,27,80,76,78,48,52,74,60,155,145,135,145,112,200,248,175,175,165,160,230,243,130,135,150,155,165,160,178,190,253,250,270,250,220,279,300,303,238,160,190,185,195,140,150,158,158,135,215,220,220,215,220,120,219,268,300,33,26,290,320,258,25,270,18,270,26,270,23,275,39,255,58,40,42,145,150,130,140,175,175,155,165,120,195,205
