Day,Sensor_ID,Hourly_Counts,sensor_description,latitude,longitude,location
Friday,1,589.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Monday,1,496.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Saturday,1,618.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Sunday,1,518.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Thursday,1,554.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Tuesday,1,502.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Wednesday,1,542.0,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
Friday,2,407.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Monday,2,343.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Saturday,2,432.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Sunday,2,341.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Thursday,2,385.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Tuesday,2,351.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Wednesday,2,378.0,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
Friday,3,529.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Monday,3,434.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Saturday,3,551.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Sunday,3,464.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Thursday,3,460.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Tuesday,3,438.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Wednesday,3,472.0,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
Friday,4,664.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Monday,4,551.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Saturday,4,650.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Sunday,4,526.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Thursday,4,617.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Tuesday,4,567.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Wednesday,4,618.0,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Friday,5,630.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Monday,5,497.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Saturday,5,651.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Sunday,5,547.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Thursday,5,576.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Tuesday,5,499.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Wednesday,5,560.0,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
Friday,6,595.0,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
