"Counting","AGEP Age","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","0","Casey",1671
"Persons Place of Usual Residence","0","Dunkley",1902
"Persons Place of Usual Residence","0","Gellibrand",2737
"Persons Place of Usual Residence","0","Nicholls",1692
"Persons Place of Usual Residence","0","Indi",1454
"Persons Place of Usual Residence","0","Corio",1675
"Persons Place of Usual Residence","0","Corangamite",1360
"Persons Place of Usual Residence","0","McEwen",1846
"Persons Place of Usual Residence","0","Monash",1349
"Persons Place of Usual Residence","0","Bendigo",1543
"Persons Place of Usual Residence","0","Wannon",1539
"Persons Place of Usual Residence","0","Mallee",1703
"Persons Place of Usual Residence","0","Hawke",1918
"Persons Place of Usual Residence","0","Ballarat",1586
"Persons Place of Usual Residence","0","Gippsland",1535
"Persons Place of Usual Residence","0","Flinders",1250
"Persons Place of Usual Residence","0","Wills",1983
"Persons Place of Usual Residence","0","Melbourne",1656
"Persons Place of Usual Residence","0","Cooper",1835
"Persons Place of Usual Residence","0","Maribyrnong",1748
"Persons Place of Usual Residence","0","Macnamara",1808
"Persons Place of Usual Residence","0","Higgins",1488
"Persons Place of Usual Residence","0","Kooyong",1325
"Persons Place of Usual Residence","0","Menzies",1437
"Persons Place of Usual Residence","0","Chisholm",1415
"Persons Place of Usual Residence","0","Deakin",1856
"Persons Place of Usual Residence","0","Goldstein",1372
"Persons Place of Usual Residence","0","Hotham",2287
"Persons Place of Usual Residence","0","Isaacs",1832
"Persons Place of Usual Residence","0","Jagajaga",1852
"Persons Place of Usual Residence","0","Scullin",2331
"Persons Place of Usual Residence","0","Gorton",2138
"Persons Place of Usual Residence","0","Calwell",2326
"Persons Place of Usual Residence","0","Aston",1745
"Persons Place of Usual Residence","0","La Trobe",1807
"Persons Place of Usual Residence","0","Bruce",2212
"Persons Place of Usual Residence","0","Holt",2646
"Persons Place of Usual Residence","0","Fraser",2351
"Persons Place of Usual Residence","0","Lalor",2609
"Persons Place of Usual Residence","0","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","0","No usual address (Vic.)",93
"Persons Place of Usual Residence","0","Total",70920
"Persons Place of Usual Residence","1","Casey",1871
"Persons Place of Usual Residence","1","Dunkley",1958
"Persons Place of Usual Residence","1","Gellibrand",2886
"Persons Place of Usual Residence","1","Nicholls",1790
"Persons Place of Usual Residence","1","Indi",1527
"Persons Place of Usual Residence","1","Corio",1867
"Persons Place of Usual Residence","1","Corangamite",1472
"Persons Place of Usual Residence","1","McEwen",1853
"Persons Place of Usual Residence","1","Monash",1387
"Persons Place of Usual Residence","1","Bendigo",1593
"Persons Place of Usual Residence","1","Wannon",1572
"Persons Place of Usual Residence","1","Mallee",1779
"Persons Place of Usual Residence","1","Hawke",1981
"Persons Place of Usual Residence","1","Ballarat",1640
"Persons Place of Usual Residence","1","Gippsland",1586
"Persons Place of Usual Residence","1","Flinders",1385
"Persons Place of Usual Residence","1","Wills",2017
"Persons Place of Usual Residence","1","Melbourne",1535
"Persons Place of Usual Residence","1","Cooper",1960
"Persons Place of Usual Residence","1","Maribyrnong",1781
"Persons Place of Usual Residence","1","Macnamara",1607
"Persons Place of Usual Residence","1","Higgins",1464
"Persons Place of Usual Residence","1","Kooyong",1466
"Persons Place of Usual Residence","1","Menzies",1708
"Persons Place of Usual Residence","1","Chisholm",1637
"Persons Place of Usual Residence","1","Deakin",2106
"Persons Place of Usual Residence","1","Goldstein",1562
"Persons Place of Usual Residence","1","Hotham",2433
"Persons Place of Usual Residence","1","Isaacs",1940
"Persons Place of Usual Residence","1","Jagajaga",1848
"Persons Place of Usual Residence","1","Scullin",2449
"Persons Place of Usual Residence","1","Gorton",2283
"Persons Place of Usual Residence","1","Calwell",2437
"Persons Place of Usual Residence","1","Aston",1759
"Persons Place of Usual Residence","1","La Trobe",1992
"Persons Place of Usual Residence","1","Bruce",2372
"Persons Place of Usual Residence","1","Holt",2814
"Persons Place of Usual Residence","1","Fraser",2467
"Persons Place of Usual Residence","1","Lalor",2849
"Persons Place of Usual Residence","1","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","1","No usual address (Vic.)",80
"Persons Place of Usual Residence","1","Total",74723
"Persons Place of Usual Residence","2","Casey",1816
"Persons Place of Usual Residence","2","Dunkley",1965
"Persons Place of Usual Residence","2","Gellibrand",2887
"Persons Place of Usual Residence","2","Nicholls",1814
"Persons Place of Usual Residence","2","Indi",1529
"Persons Place of Usual Residence","2","Corio",1833
"Persons Place of Usual Residence","2","Corangamite",1569
"Persons Place of Usual Residence","2","McEwen",1998
"Persons Place of Usual Residence","2","Monash",1424
"Persons Place of Usual Residence","2","Bendigo",1812
"Persons Place of Usual Residence","2","Wannon",1518
"Persons Place of Usual Residence","2","Mallee",1780
"Persons Place of Usual Residence","2","Hawke",2126
"Persons Place of Usual Residence","2","Ballarat",1682
"Persons Place of Usual Residence","2","Gippsland",1599
"Persons Place of Usual Residence","2","Flinders",1431
"Persons Place of Usual Residence","2","Wills",1943
"Persons Place of Usual Residence","2","Melbourne",1359
"Persons Place of Usual Residence","2","Cooper",1863
"Persons Place of Usual Residence","2","Maribyrnong",1685
"Persons Place of Usual Residence","2","Macnamara",1558
"Persons Place of Usual Residence","2","Higgins",1442
"Persons Place of Usual Residence","2","Kooyong",1438
"Persons Place of Usual Residence","2","Menzies",1662
"Persons Place of Usual Residence","2","Chisholm",1608
"Persons Place of Usual Residence","2","Deakin",2011
"Persons Place of Usual Residence","2","Goldstein",1570
"Persons Place of Usual Residence","2","Hotham",2455
"Persons Place of Usual Residence","2","Isaacs",1897
"Persons Place of Usual Residence","2","Jagajaga",1959
"Persons Place of Usual Residence","2","Scullin",2437
"Persons Place of Usual Residence","2","Gorton",2352
"Persons Place of Usual Residence","2","Calwell",2473
"Persons Place of Usual Residence","2","Aston",1842
"Persons Place of Usual Residence","2","La Trobe",1898
"Persons Place of Usual Residence","2","Bruce",2354
"Persons Place of Usual Residence","2","Holt",2731
"Persons Place of Usual Residence","2","Fraser",2323
"Persons Place of Usual Residence","2","Lalor",2785
"Persons Place of Usual Residence","2","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","2","No usual address (Vic.)",60
"Persons Place of Usual Residence","2","Total",74475
"Persons Place of Usual Residence","3","Casey",1901
"Persons Place of Usual Residence","3","Dunkley",2039
"Persons Place of Usual Residence","3","Gellibrand",2858
"Persons Place of Usual Residence","3","Nicholls",1919
"Persons Place of Usual Residence","3","Indi",1700
"Persons Place of Usual Residence","3","Corio",1830
